# Sensor Växjö, Sweden (Citizen Science project sensor.community/17662)
# https://aqicn.org/station/@63646/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2020-06-16T00:00:00.000Z,1.3,4.03,2.25,1.87,2.62,0.515,575
2020-06-17T00:00:00.000Z,1.42,5.85,2.58,2.17,3,0.651,550
2020-06-18T00:00:00.000Z,1.58,5.68,2.2,2.02,2.54,0.575,521
2020-06-19T00:00:00.000Z,1.7,4.55,3,2.78,3.33,0.43,491
2020-06-20T00:00:00.000Z,2.54,13.48,6.03,4.17,8.93,2.83,581
2020-06-21T00:00:00.000Z,3.12,15.4,10.15,9.3,11.45,2.637,579
2020-06-22T00:00:00.000Z,0.73,4.3,2.17,1.75,3.1,0.822,563
2020-06-23T00:00:00.000Z,1.6,4.2,2.92,2.5,3.3,0.535,572
2020-06-24T00:00:00.000Z,2.33,6.28,3.22,2.97,3.87,0.706,586
2020-06-25T00:00:00.000Z,1.58,5.07,3.2,2.4,3.65,0.713,570
2020-06-26T00:00:00.000Z,2.6,5.95,3.65,3.33,3.97,0.485,565
2020-06-27T00:00:00.000Z,3.1,10.35,5.3,4.82,5.87,0.969,516
2020-06-28T00:00:00.000Z,1.45,10.48,6.97,3.16,8.05,2.552,461
2020-06-29T00:00:00.000Z,1.17,2.8,1.77,1.6,2.1,0.365,473
2020-06-30T00:00:00.000Z,1.1,2.8,1.9,1.7,2.1,0.286,460
2020-07-01T00:00:00.000Z,1,2.7,1.8,1.6,2.06,0.323,453
2020-07-02T00:00:00.000Z,0.8,7.47,1.55,1.27,3.12,1.579,454
2020-07-03T00:00:00.000Z,0.7,1.8,1.1,1,1.23,0.174,467
2020-07-04T00:00:00.000Z,0.6,1.73,1.2,0.9,1.3,0.243,498
2020-07-05T00:00:00.000Z,0.8,3.15,1.7,1.3,2.1,0.508,475
2020-07-06T00:00:00.000Z,0.68,3.73,1.45,1.2,1.75,0.476,279
2020-07-07T00:00:00.000Z,0.65,3.75,1.34,1.1,1.83,0.694,446
2020-07-08T00:00:00.000Z,0.6,1.8,1.1,0.87,1.3,0.266,442
2020-07-09T00:00:00.000Z,0.8,3.67,1.3,1.1,1.48,0.301,480
2020-07-10T00:00:00.000Z,0.9,1.7,1.27,1.17,1.37,0.144,442
2020-07-11T00:00:00.000Z,0.88,2.5,1.5,1.3,1.8,0.337,339
2020-07-12T00:00:00.000Z,0.98,2.8,1.58,1.27,1.9,0.402,425
2020-07-13T00:00:00.000Z,1.23,2.52,1.8,1.62,1.92,0.234,427
2020-07-14T00:00:00.000Z,1.17,2.5,1.75,1.6,1.9,0.2,440
2020-07-15T00:00:00.000Z,1.1,3.97,2.44,2.08,2.95,0.561,354
2020-07-16T00:00:00.000Z,1.6,9.8,2.9,2.15,5.2,1.864,330
