# Sensor Calle Hernando de Zafra, Centro, Spain (Citizen Science project sensor.community/47617)
# https://aqicn.org/station/@128242/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-12-25T00:00:00.000Z,1.73,16.32,5.24,4.12,8.43,3.044,208
2020-12-26T00:00:00.000Z,0.73,269.17,1.76,1.35,2.42,25.699,226
2020-12-27T00:00:00.000Z,0.5,6.28,1.52,1.02,2.29,1.147,221
2020-12-28T00:00:00.000Z,0.2,3.58,1.2,0.76,2.15,0.831,205
2020-12-29T00:00:00.000Z,0.73,4.7,1.92,1.55,2.52,0.736,227
2020-12-30T00:00:00.000Z,0.95,5.63,2.6,1.79,3.74,1.062,229
2020-12-31T00:00:00.000Z,0.7,64.45,2.45,1.77,3.2,4.452,232
2021-01-01T00:00:00.000Z,0.3,7.45,0.85,0.64,1.3,1.249,220
2021-01-02T00:00:00.000Z,0.77,4.18,1.65,1.21,2.25,0.695,209
2021-01-03T00:00:00.000Z,0.47,4.95,1.98,1.21,2.52,0.876,197
2021-01-04T00:00:00.000Z,0.6,7.38,1.77,1.27,2.41,1.353,188
2021-01-05T00:00:00.000Z,0.7,4.45,2.08,1.55,2.63,0.731,195
2021-01-06T00:00:00.000Z,0.52,9.68,1.8,1.38,2.52,1.295,195
2021-01-07T00:00:00.000Z,0.4,13.15,2.29,0.77,5.89,3.242,205
2021-01-08T00:00:00.000Z,0.73,9.44,2.47,1.98,3.28,1.5,206
2021-01-09T00:00:00.000Z,0.4,5.6,1.25,1,1.85,1.039,206
2021-01-10T00:00:00.000Z,0.77,12.77,2.1,1.55,3.78,2.566,208
2021-01-11T00:00:00.000Z,0.8,9.6,2.8,1.77,4.75,1.873,199
2021-01-12T00:00:00.000Z,1.17,8.57,4.13,2.91,5.28,1.651,200
2021-01-13T00:00:00.000Z,1.48,113.87,3.5,2.29,7.16,9.702,201
2021-01-14T00:00:00.000Z,1.35,9.13,3.34,2.58,4.88,1.778,190
2021-01-15T00:00:00.000Z,2.67,13.13,7.46,5.09,10.28,2.635,192
2021-01-16T00:00:00.000Z,2.22,9.85,3.63,3.22,4.55,1.303,187
2021-01-17T00:00:00.000Z,1.85,8.94,3.42,2.6,5.18,1.723,186
2021-01-18T00:00:00.000Z,2.6,18,5.3,4.05,7.57,3.288,175
2021-01-19T00:00:00.000Z,1.25,14.45,3.24,2.33,6.22,2.992,166
2021-01-20T00:00:00.000Z,5.85,38.65,14.16,9.43,20.23,7.71,186
2021-01-21T00:00:00.000Z,2.92,20.92,5.15,4.34,6.4,2.857,183
2021-01-22T00:00:00.000Z,1.3,6.13,3.12,2.6,3.85,0.855,188
