# Sensor G 651, Tingsryds kommun, Sweden (Citizen Science project sensor.community/11763)
# https://aqicn.org/station/@59650/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2020-06-18T00:00:00.000Z,1.3,3.03,1.8,1.6,2.1,0.346,510
2020-06-19T00:00:00.000Z,2.23,6.27,3.7,3.03,4.3,0.803,459
2020-06-20T00:00:00.000Z,2.7,13.23,5.23,3.7,6.94,2.662,588
2020-06-21T00:00:00.000Z,6.67,39.17,8.6,7.93,9.59,3.654,585
2020-06-22T00:00:00.000Z,0.8,6.57,2.38,1.7,3.1,1.049,558
2020-06-23T00:00:00.000Z,1.3,4.07,2.5,2.1,2.87,0.533,573
2020-06-24T00:00:00.000Z,1.93,8.69,2.87,2.5,3.4,1.088,592
2020-06-25T00:00:00.000Z,1.3,5.07,2.67,2.1,3.4,0.793,574
2020-06-26T00:00:00.000Z,2.52,7.87,3.47,3.07,4.3,0.798,563
2020-06-27T00:00:00.000Z,2.33,6,3.63,3.4,4.19,0.602,525
2020-06-28T00:00:00.000Z,1.1,18.27,5.9,2.97,6.87,2.327,451
2020-06-29T00:00:00.000Z,0.9,5.33,1.4,1.3,1.6,0.494,485
2020-06-30T00:00:00.000Z,0.93,2.37,1.5,1.3,1.67,0.266,473
2020-07-01T00:00:00.000Z,0.9,2.29,1.53,1.3,1.77,0.288,461
2020-07-02T00:00:00.000Z,0.7,3.4,1.4,1.03,2.5,0.754,455
2020-07-03T00:00:00.000Z,0.5,2.6,0.83,0.7,1,0.227,473
2020-07-04T00:00:00.000Z,0.3,2.02,0.9,0.7,1.2,0.32,497
2020-07-05T00:00:00.000Z,0.4,3.33,1.3,1,1.6,0.469,477
2020-07-06T00:00:00.000Z,0.6,2.93,1.2,1,1.4,0.314,283
2020-07-07T00:00:00.000Z,0.4,2.67,1.1,0.8,1.5,0.52,427
2020-07-08T00:00:00.000Z,0.3,11.13,0.9,0.73,1,0.95,444
2020-07-09T00:00:00.000Z,0.6,1.5,0.9,0.8,1.1,0.172,476
