date, pm25, pm10, no2
2022/4/24, 18, 29, 13
2022/4/25, 24, 22, 11
2022/4/26, 16, 23, 10
2022/4/27, 16, 25, 12
2022/4/28, 18, 21, 12
2022/4/29, 15, 19, 9
2022/4/30, 20, 18, 7
2022/5/1, 21, 35, 12
2022/5/2, 22, 16, 7
2022/5/3, 12, 20, 12
2022/5/4, 17, 30, 12
2022/5/5, 29, 26, 11
2022/5/6, 29, 16, 9
2022/5/7, 24, 13, 5
2022/5/8, 11, 22, 9
2022/5/9, 18, 28, 6
2022/5/10, 29, 20, 9
2022/5/11, 28, 24, 9
2022/5/12, 22, 24, 11
2022/5/13, 21, 12, 9
2022/5/14, 16, 12, 6
2022/5/15, 10, 25, 8
2022/5/16, 14, 27, 11
2022/5/17, 16, 34, 19
2022/5/18, 22, 39, 17
2022/5/19, 30, 16, 15
2022/5/20, 31, 14, 15
2022/5/21, 23, ,
2022/5/23, 25, 20, 5
2022/5/24, 27, 22, 11
2022/5/25, 33, 15, 8
2022/5/26, 17, 8, 8
2022/5/27, 12, 5, 7
2022/5/28, 15, 8, 5
2022/5/29, 13, 11, 10
2022/5/30, 17, 10, 11
2022/5/31, 30, 10, 7
2022/6/1, 21, 8, 13
2022/6/2, 22, 15, 11
2022/6/3, 28, 13, 6
2022/6/4, 22, 15, 7
2022/6/5, 19, 8, 3
2022/6/6, 11, 15, 13
2022/6/7, 25, 17, 8
2022/6/8, 30, 17, 13
2022/6/9, 24, 19, 14
2022/6/10, 32, 16, 9
2022/6/11, 28, 16, 6
2022/6/12, 25, 15, 10
2022/6/13, 21, 15, 13
2022/6/14, 16, 13, 12
2022/6/15, 15, 16, 12
2022/6/16, 20, 11, 10
2022/6/17, 16, 15, 8
2022/6/18, 32, 7, 5
2022/6/19, 10, 9, 9
2022/6/20, 16, 12, 13
2022/6/21, 20, 15, 13
2022/6/22, 27, 15, 10
2022/6/23, 25, 10, 5
2022/6/24, 22, 16, 3
2022/6/25, 32, 18, 6
2022/6/26, 35, 21,
2022/6/27, 40, 21, 8
2022/6/28, 40, 16, 14
2022/6/29, 33, 24, 10
2022/6/30, 55, 16, 6
2022/1/3, 18, 5, 6
2022/1/4, 12, 5, 9
2022/1/5, 14, 3, 5
2022/1/6, 8, 6, 15
2022/1/7, 16, 8, 7
2022/1/8, 20, 12, 9
2022/1/9, 34, 10, 10
2022/1/10, 32, 10, 9
2022/1/11, 34, 12, 8
2022/1/12, 38, 5, 7
2022/1/13, 11, 20, 4
2022/1/14, 11, 35, 7
2022/1/15, 18, 11, 5
2022/1/16, 15, 34, 4
2022/1/17, 15, 45, 12
2022/1/18, 25, 6, 6
2022/1/19, 17, 4, 4
2022/1/20, 6, 4, 6
2022/1/21, 10, 9, 11
2022/1/22, 20, 8, 10
2022/1/23, 24, 6, 10
2022/1/24, 17, 9, 20
2022/1/25, 21, 8, 13
2022/1/26, 20, 5, 11
2022/1/27, 14, 20, 7
2022/1/28, 13, 6, 4
2022/1/29, 8, 2, 2
2022/1/30, 5, 7, 7
2022/1/31, 10, 25, 13
2022/2/1, 25, 25, 13
2022/2/2, 31, 9, 12
2022/2/3, 28, 4, 6
2022/2/4, 12, 6, 10
2022/2/5, 14, 6, 5
2022/2/6, 12, 11, 12
2022/2/7, 11, 4, 12
2022/2/8, 9, 7, 8
2022/2/9, 16, 28, 10
2022/2/10, 22, 72, 14
2022/2/11, 38, 32, 5
