date, pm25, pm10, o3, no2, so2, co
2023/6/21, 58, 53, 4, 15, 39, 1
2023/6/22, 58, 47, 4, 22, 15, 1
2023/6/23, 57, 32, 4, 23, 12, 1
2023/6/24, 47, , 4, 16, 16, 2
2023/6/25, 45, , 4, 17, , 2
2023/6/26, 53, 31, 4, 17, , 2
2023/6/27, 43, 28, 4, 15, , 2
2023/6/28, 39, 32, 4, 17, , 2
2023/6/29, 44, 34, 4, 14, , 2
2023/6/30, 45, 38, 4, 12, , 2
2023/1/19, 176, 127, 4, 9, 9, 14
2023/1/20, 156, 104, 4, , 8, 11
2023/1/21, 157, 96, 4, , 9, 11
2023/1/22, 139, 82, 4, 1, 9, 8
2023/1/23, 149, 93, 4, 1, 8, 9
2023/1/24, 150, 89, 4, 1, 8, 9
2023/1/25, 160, 101, 4, 1, 8, 9
2023/1/26, 169, 112, 4, 1, 8, 11
2023/1/27, 172, 115, 4, , 9, 13
2023/1/28, 156, 102, 4, , 11, 13
2023/1/29, 149, 88, 4, 1, 10, 11
2023/1/30, 150, 85, 4, 1, 9, 10
2023/1/31, 168, 104, 4, 1, 9, 11
2023/2/1, 162, 96, 4, 1, 9, 10
2023/2/2, 154, 89, 4, 1, 9, 10
2023/2/3, 156, 99, 4, 1, 9, 11
2023/2/4, 161, 106, 4, 1, 10, 13
2023/2/5, 169, 113, 4, 1, 10, 14
2023/2/6, 157, 90, 4, 1, 9, 11
2023/2/7, 140, 84, 4, 2, 9, 8
2023/2/8, 170, 115, 4, , 8, 12
2023/2/9, 177, 124, 4, , 10, 14
2023/2/10, 163, 98, 4, , 9, 10
2023/2/11, 139, 82, 4, , 11, 9
2023/2/12, 155, 94, 4, , 11, 13
2023/2/13, 138, 84, 4, , 10, 8
2023/2/14, 162, 111, 4, 1, 10, 13
2023/2/15, 172, 128, 4, 1, 11, 15
2023/2/16, 161, 124, 4, , 11, 12
2023/2/17, 171, 133, 4, , 11, 13
2023/2/18, 165, 115, 4, , 15, 12
2023/2/19, 166, 123, 4, , 14, 13
2023/2/20, 155, 85, 4, , 12, 11
2023/2/21, 152, 108, 4, , 12, 12
2023/2/22, 117, 74, 4, , 12, 9
2023/2/23, 160, 94, 4, 2, 13, 12
2023/2/24, 158, 96, 4, , 12, 13
2023/2/25, 157, 97, 4, , 13, 12
2023/2/26, 164, 107, 4, , 14, 13
2023/2/27, 159, 100, 4, , 13, 13
2023/2/28, 144, 93, 4, , 11, 11
2023/3/1, 153, 101, 4, , 12, 14
2023/3/2, 172, 116, 4, , 12, 15
2023/3/3, 172, 105, 4, , 12, 16
2023/3/4, 191, 130, 4, 2, 13, 20
2023/3/5, 194, 140, 4, 7, 13, 20
2023/3/6, 177, 123, 4, 4, 11, 21
2023/3/7, 123, 79, 4, 2, 9, 11
2023/3/11, 151, 88, 4, , 8, 13
2023/3/12, 170, 117, 4, , 8, 18
2023/3/13, 178, 106, 4, , 8, 21
2023/3/14, 167, 103, 4, , 8, 15
2023/3/15, 145, 77, 4, 1, 8, 12
2023/3/16, 146, 66, 4, 2, 8, 12
2023/3/17, 141, 68, 4, 2, 8, 21
2023/3/18, 118, 70, 4, 2, 8, 29
2023/3/20, 76, 49, 5, 2, 7, 9
2023/3/21, 64, 42, 4, 2, 7, 15
2023/3/22, 68, 41, 4, 2, 7, 22
2023/3/23, 78, 42, 4, 2, 7, 21
2023/3/29, 80, 72, 4, , 6, 37
2023/3/31, 81, 56, 28, 7, 7, 
2022/10/1, 72, 22, 1, 4, , 3
2022/10/2, 31, 34, 1, 5, , 3
2022/10/3, 48, 48, 1, 6, , 4
2022/10/4, 67, 48, 1, 5, , 4
2022/10/5, 64, 33, 1, 5, , 4
2022/10/6, 43, 30, 1, 5, , 4
2022/10/7, 52, 21, 1, 4, , 3
2022/10/8, 35, 22, 1, 4, , 3
2022/10/9, 31, 40, 1, 7, , 4
2022/10/10, 64, 40, 1, 7, , 5
2022/10/11, 62, 45, 1, 12, , 6
2022/10/12, 87, 62, 1, 15, 1, 9
2022/10/13, 116, 55, , 15, 4, 8
2022/10/14, 105, 58, , 17, 3, 9
2022/10/15, 109, 68, , 16, 2, 7
2022/10/16, 107, , , , , 
2022/10/24, 153, 97, 1, 13, 2, 9
2022/10/25, 155, 96, 1, 18, 2, 10
2022/10/26, 153, 98, 1, 21, 2, 9
2022/10/27, 150, 95, 1, 19, 2, 10
2022/10/28, 143, 95, , 24, 2, 10
2022/10/29, 137, 78, , 23, 2, 8
2022/10/30, 127, 83, , 18, 2, 9
2022/10/31, 142, 100, , 25, 2, 10
2022/11/1, 152, 94, , 21, 3, 10
2022/11/2, 152, 96, , 24, 3, 10
2022/11/3, 147, 100, 1, 29, 4, 11
2022/11/4, 149, 91, , 36, 5, 10
2022/11/5, 149, 94, 1, 51, 6, 10
2022/11/6, 151, 99, 1, 71, 7, 11
2022/11/7, 161, 113, 1, 73, 9, 12
2022/11/8, 176, 112, 1, 62, 10, 12
2022/7/1, 48, 62, 1, 3, 16, 
2022/7/2, 88, 55, 1, 3, 13, 
2022/7/3, 74, 39, 1, 3, 12, 
2022/7/4, 50, 39, 1, 3, 13, 
2022/7/5, 53, 37, 1, 3, 11, 
2022/7/6, 49, 47, 1, 3, 10, 
2022/7/7, 72, 55, 1, 3, 10, 
2022/7/8, 80, 51, 1, 3, 19, 
2022/7/9, 84, 52, , 2, 22, 
2022/7/10, 71, 50, 1, 3, 15, 
2022/7/11, 67, 46, 4, 3, 17, 
2022/7/12, 59, 47, 1, 2, 19, 
2022/7/13, 62, , , , , 
2022/7/15, 112, 42, 1, 3, 27, 
2022/7/16, 68, 38, 1, 2, 27, 
2022/7/17, 51, 45, 1, 2, 37, 
2022/7/18, 55, 46, 1, 2, 36, 
2022/7/19, 78, 35, , 3, 47, 
2022/7/20, 52, 32, 1, 3, 43, 
2022/7/21, 49, 42, 1, 2, 1, 
2022/7/22, 63, 40, 1, 2, , 
2022/7/23, 57, 34, 1, 2, , 
